Month,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,75.0,46.0,1,60.0,0,10.0,19.0,0,0.0,0.0,0.0,0.0,57.0
0,115.0,101.0,1,14.0,1,4.0,10.0,0,0.0,0.0,0.0,0.0,0.0
0,107.0,94.0,1,14.0,2,3.0,10.0,0,0.0,0.0,0.0,0.0,0.0
0,190.0,177.0,0,10.0,3,3.0,10.0,0,0.0,0.0,0.0,0.0,0.0
0,85.0,63.0,1,17.0,4,9.0,13.0,0,7.0,0.0,0.0,0.0,10.0
0,42.0,28.0,1,64.0,5,2.0,12.0,0,0.0,0.0,0.0,0.0,61.0
0,222.0,209.0,0,7.0,6,5.0,8.0,0,0.0,0.0,0.0,0.0,0.0
0,131.0,119.0,1,59.0,7,3.0,9.0,0,0.0,0.0,6.0,0.0,59.0
0,233.0,199.0,1,60.0,8,11.0,23.0,0,5.0,0.0,0.0,0.0,34.0
0,99.0,77.0,1,20.0,9,6.0,16.0,0,0.0,0.0,0.0,0.0,0.0
0,70.0,59.0,0,9.0,10,4.0,7.0,0,0.0,0.0,0.0,0.0,0.0
0,192.0,170.0,1,219.0,11,12.0,10.0,0,0.0,0.0,17.0,0.0,204.0
0,148.0,117.0,1,22.0,12,21.0,10.0,0,7.0,0.0,13.0,0.0,15.0
0,165.0,147.0,0,13.0,13,3.0,15.0,0,0.0,0.0,0.0,0.0,0.0
0,134.0,89.0,1,15.0,14,33.0,12.0,0,0.0,0.0,18.0,0.0,11.0
0,138.0,88.0,1,135.0,15,5.0,45.0,0,0.0,0.0,153.0,0.0,0.0
0,108.0,79.0,1,61.0,16,6.0,23.0,0,60.0,0.0,0.0,0.0,0.0
0,109.0,89.0,1,13.0,17,9.0,11.0,0,0.0,0.0,0.0,0.0,0.0
0,79.0,66.0,1,16.0,18,4.0,9.0,0,0.0,0.0,4.0,0.0,16.0
0,62.0,37.0,1,13.0,19,11.0,14.0,0,0.0,0.0,0.0,0.0,0.0
0,161.0,147.0,0,6.0,20,4.0,10.0,0,0.0,0.0,0.0,0.0,0.0
0,169.0,137.0,1,20.0,21,11.0,21.0,0,0.0,0.0,0.0,0.0,0.0
0,76.0,59.0,1,85.0,22,3.0,14.0,0,85.0,0.0,11.0,0.0,0.0
0,310.0,279.0,0,22.0,23,12.0,19.0,0,0.0,0.0,0.0,0.0,0.0
0,66.0,54.0,0,14.0,24,4.0,8.0,0,0.0,0.0,0.0,0.0,0.0
0,107.0,90.0,1,18.0,25,5.0,12.0,0,0.0,0.0,0.0,0.0,0.0
0,150.0,106.0,1,22.0,26,25.0,19.0,0,0.0,0.0,16.0,0.0,21.0
0,237.0,205.0,1,83.0,27,8.0,24.0,0,0.0,0.0,1.0,0.0,83.0
0,287.0,271.0,1,68.0,28,5.0,11.0,0,0.0,0.0,51.0,0.0,2.0
0,75.0,62.0,1,251.0,29,4.0,9.0,0,236.0,0.0,0.0,0.0,0.0
